Stock In Date,Model,IMEI,Grade,Storage,SIM Type,Colour,Supplier,BP,Stock Type,Notes,Age (days),Return Date
2026-08-28,GALAXY S21 Fe,350799512674626,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,Galaxy A32,351554747576792,A,64GB,Dual Physical SIM,Black,RR STOCK,60,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351675490168253,A,128GB,Physical SIM + eSIM,Purple,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351675490255431,A,128GB,Physical SIM + eSIM,Purple,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351675490424243,A,128GB,Physical SIM + eSIM,Purple,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351675495247789,A,128GB,Physical SIM + eSIM,Purple,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844420627305,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844420988160,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844421021771,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844421450244,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844421836160,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844421870946,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844421913852,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844423103387,A,128GB,Physical SIM + eSIM,Purple,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844423287370,A,128GB,Physical SIM + eSIM,Purple,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844423566401,A,128GB,Physical SIM + eSIM,Purple,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844425319437,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844425491590,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844425854318,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844426148710,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844426456626,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844426557167,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,351844427173105,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,353717345036695,A,128GB,Physical SIM + eSIM,Grey,MHL,110,OFFICE,,1,
2026-08-28,Galaxy A14,354519741128608,A,64GB,Physical SIM,Black,MHL,65,OFFICE,,1,
2026-08-28,Galaxy A14,354519746149674,A,64GB,Physical SIM,Black,MHL,65,OFFICE,,1,
2026-08-28,Galaxy S20 Plus,355464112202964,A,128GB,Physical SIM + eSIM,Black,MHL,120,OFFICE,,1,
2026-08-28,GALAXY S23,355552513094855,A,256GB,Physical SIM + eSIM,Black,ABC,208,OFFICE,,1,
2026-08-28,GALAXY S23,355552516082998,A,256GB,Physical SIM + eSIM,CREAM,ABC,208,OFFICE,,1,
2026-08-28,GALAXY S21 Fe,359043371819670,A,128GB,Physical SIM + eSIM,Purple,MHL,110,OFFICE,,1,
2026-08-28,IPAD 11TG GEN,SCMCQJ7GH1W,ONU,128GB,Not Applicable,Silver,ABC,300,OFFICE,,1,
2026-08-28,IPAD 11TG GEN,SDLWTLD9RY3,ONU,128GB,Not Applicable,Silver,ABC,300,OFFICE,,1,
2026-08-26,GALAXY S21,350166286073387,A,256GB,Physical SIM + eSIM,White,MHL,140,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472557275,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472568934,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472585086,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472601586,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472615453,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472649866,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472661325,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472670763,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472670953,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472672678,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472672819,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472674120,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472689128,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472701022,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472704356,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472723042,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472746498,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472746761,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472747587,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472765449,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,Galaxy Tab A11 Plus,350237472766124,A,128GB,Physical SIM,Grey,NIHAL,145,OFFICE,,3,
2026-08-26,GALAXY S21,350359740049941,A,256GB,Physical SIM + eSIM,White,MHL,140,OFFICE,,3,
2026-08-26,GALAXY S21,350359740054008,A,256GB,Physical SIM + eSIM,White,MHL,140,OFFICE,,3,
2026-08-26,GALAXY S21,350359740065418,A,256GB,Physical SIM + eSIM,White,MHL,140,OFFICE,,3,
2026-08-26,Galaxy A16 4G,350455586676159,A,128GB,Physical SIM + eSIM,Grey,MHL,85,OFFICE,,3,
2026-08-26,GALAXY S23,350932556429694,A,256GB,Physical SIM + eSIM,Black,ABC,208,OFFICE,,3,
2026-08-26,Galaxy A17,351158942164428,ONU,128GB,Physical SIM + eSIM,Black,ABC,230,OFFICE,,3,
2026-08-26,Galaxy A16 4G,351272330527110,A,128GB,Physical SIM + eSIM,Grey,MHL,85,OFFICE,,3,
2026-08-26,Galaxy A16 4G,351477971419770,A,128GB,Physical SIM + eSIM,Grey,MHL,85,OFFICE,,3,
2026-08-26,Galaxy A16,352226310618462,A,128GB,Physical SIM + eSIM,Black,MHL,85,OFFICE,,3,
2026-08-26,Galaxy A16,352513120292210,A,128GB,Physical SIM + eSIM,Black,MHL,85,OFFICE,,3,
2026-08-26,Galaxy A16,352513123323582,A,128GB,Physical SIM + eSIM,Black,MHL,85,OFFICE,,3,
2026-08-26,Galaxy A16,352513128516925,A,128GB,Physical SIM + eSIM,Black,MHL,85,OFFICE,,3,
2026-08-26,Galaxy A16,352513128704927,A,128GB,Physical SIM + eSIM,Black,MHL,85,OFFICE,,3,
2026-08-26,Galaxy A16,352513128972698,A,128GB,Physical SIM + eSIM,Black,MHL,85,OFFICE,,3,
2026-08-26,Galaxy A16,353026642647679,A,128GB,Physical SIM + eSIM,Black,MHL,85,OFFICE,,3,
2026-08-26,Galaxy A16,353670772699792,A,128GB,Physical SIM + eSIM,Black,MHL,85,OFFICE,,3,
2026-08-26,GALAXY S21,355218130412876,A,256GB,Physical SIM + eSIM,White,MHL,140,OFFICE,,3,
2026-08-26,GALAXY S21,355218130424160,A,256GB,Physical SIM + eSIM,White,MHL,140,OFFICE,,3,
2026-08-26,GALAXY S23,355552513076993,A,256GB,Physical SIM + eSIM,Black,ABC,208,OFFICE,,3,
2026-08-26,GALAXY S23,355552513348228,A,256GB,Physical SIM + eSIM,Black,ABC,208,OFFICE,,3,
2026-08-26,GALAXY S23,355552513663865,A,256GB,Physical SIM + eSIM,Black,ABC,208,OFFICE,,3,
2026-08-26,Galaxy S23,355552515119627,A,128GB,Physical SIM + eSIM,Cream,MHL,185,OFFICE,,3,
2026-08-26,GALAXY S21,356333450066522,A,256GB,Physical SIM + eSIM,White,MHL,140,OFFICE,,3,
2026-08-26,GALAXY S21,356333450175042,A,256GB,Physical SIM + eSIM,Black,MHL,140,OFFICE,,3,
2026-08-26,GALAXY S21,356333450203455,A,256GB,Physical SIM + eSIM,Black,MHL,140,OFFICE,,3,
2026-08-26,GALAXY S21,356333450505263,A,256GB,Physical SIM + eSIM,Black,MHL,140,OFFICE,,3,
2026-08-26,GALAXY S21,356333450744847,A,256GB,Physical SIM + eSIM,White,MHL,140,OFFICE,,3,
2026-08-26,GALAXY S21,356333450963561,A,256GB,Physical SIM + eSIM,Black,MHL,140,OFFICE,,3,
2026-08-26,GALAXY S21,356333451052356,A,256GB,Physical SIM + eSIM,Black,MHL,140,OFFICE,,3,
2026-08-26,Pixel 8 Pro,356774620906222,A,128GB,Physical SIM + eSIM,Blue,MHL,240,OFFICE,,3,
2026-08-26,GALAXY S21,357366721167553,A,256GB,Physical SIM + eSIM,Black,MHL,140,OFFICE,,3,
2026-08-26,IPAD 11TG GEN,SDW3NH3WY9X,ONU,128GB,Not Applicable,Blue,MHL,325,OFFICE,,3,
2026-08-26,IPAD 11TG GEN,SH6YCQQQWHL,ONU,128GB,Not Applicable,Blue,MHL,325,OFFICE,,3,
2026-08-26,IPAD 11TG GEN,SHYTWX7KXV,ONU,128GB,,Silver,BUNTY,270,OFFICE,,3,
2026-08-25,IPHONE 8,353221105964352,A,64GB,,Gold,NIHAL,55,OFFICE,,4,
2026-08-25,Galaxy A32,353427862355532,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,4,
2026-08-25,Galaxy A32,355808981494468,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,4,
2026-08-25,Galaxy A32,355808981546085,A,64GB,Dual Physical SIM,Black,NANAK,60,OFFICE,,4,
