Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Blue,Condition,Good,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Blue,Condition,Premium,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Blue,Condition,Excellent,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Pink,Condition,Good,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Pink,Condition,Premium,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Pink,Condition,Excellent,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Green,Condition,Good,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Green,Condition,Premium,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Green,Condition,Excellent,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Yellow,Condition,Good,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Yellow,Condition,Premium,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,128GB,Color,Yellow,Condition,Excellent,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Black,Condition,Good,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Black,Condition,Premium,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Black,Condition,Excellent,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Blue,Condition,Good,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Blue,Condition,Premium,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Blue,Condition,Excellent,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Pink,Condition,Good,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Pink,Condition,Premium,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Pink,Condition,Excellent,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Green,Condition,Good,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Green,Condition,Premium,,,,Shop location,,0,0,0,0,0,
apple-iphone-15-plus-unlocked,Apple iPhone 15 Plus - Unlocked,Capacity,256GB,Color,Green,Condition,Excellent,,,,Shop location,,0,0,0,0,0,
